Individual,Animal Set,Strain Rate (1/s),Tube Foot Disc Tenacity (MPa)
Spurp2023-015,CA8,2.3107858481535293,0.13406352371901614
Spurp2023-017,CA8,0.20386859536425467,0.22751868987738577
Spurp2023-017,CA8,0.4983454553348448,0.187848902057768
Spurp2023-017,CA8,0.7701702491538509,0.20753666289801115
Spurp2023-017,CA8,1.0646471091244412,0.24736736384177663
Spurp2023-017,CA8,1.404428101398199,0.2499542470690049
Spurp2023-017,CA8,1.6309487629140371,0.20177438846873977
Spurp2023-017,CA8,1.88012149058146,0.28443748482091946
Spurp2023-018,CA8,0.22218244882089008,0.16189545993620946
Spurp2023-018,CA8,0.5431126526732869,0.08651625360450592
Spurp2023-018,CA8,0.839355917767807,0.3404357144400568
Spurp2023-018,CA8,1.1602861216202038,0.36998062094868056
Spurp2023-018,CA8,1.530590202988354,0.2843537563425739
Spurp2023-018,CA8,1.7774595905671207,0.3387511500580115
Spurp2023-018,CA8,2.0490159169037643,0.31606983610753775
Spurp2023-019,CA8,0.1992528528921296,0.27360696785989475
Spurp2023-019,CA8,0.48706252929187244,0.4273230719750937
Spurp2023-019,CA8,0.752732999814712,0.3655939429075821
Spurp2023-019,CA8,1.0405426762144547,0.23751509182700783
Spurp2023-019,CA8,1.3726307643680042,0.2849778685889807
Spurp2023-019,CA8,1.5940228231370375,0.4343981935239791
Spurp2023-019,CA8,1.837554087782973,0.36507199627934306
Spurp2023-020,CA8,0.2575120898624753,0.21283639039752072
Spurp2023-020,CA8,0.6294739974416064,0.2683877137438245
Spurp2023-020,CA8,0.9728234505915736,0.31919586226843205
Spurp2023-020,CA8,1.3447853581707048,0.4439150683120577
Spurp2023-020,CA8,1.7739721746081638,0.3483413898883802
Spurp2023-020,CA8,2.060096718899803,0.4336662671511047
Spurp2023-020,CA8,2.3748337176206067,0.20350783581726592
Spurp2023-021,CA8,0.24891070140018556,0.2226650280771264
Spurp2023-021,CA8,0.6084483812004535,0.2429568160471599
Spurp2023-021,CA8,0.940329316400701,0.3009098061330455
Spurp2023-021,CA8,1.299866996200969,0.18064598302929416
Spurp2023-021,CA8,1.7147181652012784,0.26862863889836264
Spurp2023-021,CA8,1.9912856112014845,0.36699215631596865
Spurp2023-021,CA8,2.2955098018017113,0.2850459766829086
Spurp2023-022,CA8,0.27220562776061874,0.13612467340436868
Spurp2023-022,CA8,0.665391534525957,0.29656682779714405
Spurp2023-022,CA8,1.0283323715401154,0.09727142756221192
Spurp2023-022,CA8,1.4215182783054536,0.03539543619641092
Spurp2023-022,CA8,1.8751943245731517,0.20381203106172052
Spurp2023-022,CA8,2.1776450220849504,0.2015417343621941
Spurp2023-022,CA8,2.510340789347929,0.2042543394150366
Spurp2023-023,CA8,0.1974048572561822,0.3436845372759181
Spurp2023-023,CA8,0.4825452066262231,0.393031693160778
